portid,portname,days,avg_total,avg_tanker,avg_cargo,avg_capacity,avg_tanker_capacity,total_total,total_tanker,total_capacity,period,tanker_share
chokepoint6,Strait of Hormuz,366,98.5792,57.6885,40.8907,3795756.6803,2715599.4044,36080,21114,1389246945,2024,0.5852
chokepoint6,Strait of Hormuz,365,93.7068,53.1507,40.5562,3571863.1644,2514595.8466,34203,19400,1303730055,2025,0.5672
chokepoint6,Strait of Hormuz,137,39.4818,21.0511,18.4307,1568124.3212,1087052.6131,5409,2884,214833032,2026 YTD,0.5332
chokepoint6,Strait of Hormuz,2694,86.4503,51.8448,34.6054,3420458.3556,2472029.0702,232897,139670,9214714810,Full record,0.5997
chokepoint6,Strait of Hormuz,179,46.5642,25.3184,21.2458,1901118.162,1328152.6816,8335,4532,340300151,Last 180 days,0.5437
chokepoint7,Cape of Good Hope,366,86.7459,18.8852,67.8607,5230726.9208,1142027.9208,31749,6912,1914446053,2024,0.2177
chokepoint7,Cape of Good Hope,365,89.1808,16.8822,72.2986,5675801.874,1123351.6822,32551,6162,2071667684,2025,0.1893
chokepoint7,Cape of Good Hope,137,88.7372,17.8248,70.9124,5273218.3139,962950.9927,12157,2442,722430909,2026 YTD,0.2009
chokepoint7,Cape of Good Hope,2694,60.4636,13.1347,47.3289,3690204.4981,920267.1934,162889,35385,9941410918,Full record,0.2172
chokepoint7,Cape of Good Hope,179,88.1006,17.4804,70.6201,5318975.8492,977497.3296,15770,3129,952096677,Last 180 days,0.1984
chokepoint8,Gibraltar Strait,366,132.7186,45.2787,87.4399,3537453.071,1376387.3962,48575,16572,1294707824,2024,0.3412
chokepoint8,Gibraltar Strait,365,134.7534,46.5288,88.2247,3536369.2959,1409763.074,49185,16983,1290774793,2025,0.3453
chokepoint8,Gibraltar Strait,137,128.9635,44.3577,84.6058,3399206.4015,1286776.5401,17668,6077,465691277,2026 YTD,0.344
chokepoint8,Gibraltar Strait,2694,130.7661,42.9621,87.804,3515074.7847,1232513.4269,352284,115740,9469611470,Full record,0.3285
chokepoint8,Gibraltar Strait,179,130.648,45.067,85.581,3433238.6425,1303799.0112,23386,8067,614549717,Last 180 days,0.3449
chokepoint9,Dover Strait,366,170.7213,62.2568,108.4645,3520818.347,1537526.0164,62484,22786,1288619515,2024,0.3647
chokepoint9,Dover Strait,365,173.2493,61.6877,111.5616,3557422.4356,1488598.8466,63236,22516,1298459189,2025,0.3561
chokepoint9,Dover Strait,137,166.3869,59.0876,107.2993,3455124.8175,1375146.3358,22795,8095,473352100,2026 YTD,0.3551
chokepoint9,Dover Strait,2694,165.8775,57.8994,107.9781,3230012.5483,1301931.3471,446874,155981,8701653805,Full record,0.349
chokepoint9,Dover Strait,179,167.2626,59.4134,107.8492,3492753.2291,1400891.6145,29940,10635,625202828,Last 180 days,0.3552
